Gene.secondaryIdentifier	Gene.length	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
YHR104W	984	Verified	chrVIII	323409	324392	1
YHR105W	645	Verified	chrVIII	324766	325410	1
YHR106W	1029	Verified	chrVIII	325598	326626	1
YHR107C	1224	Verified	chrVIII	326813	328036	-1
YHR108W	1758	Verified	chrVIII	328303	330060	1
YHR109W	1758	Verified	chrVIII	330310	332067	1
YHR110W	639	Verified	chrVIII	332282	332920	1
YHR111W	1323	Verified	chrVIII	333072	334394	1
YHR112C	1137	Verified	chrVIII	334527	335663	-1
YHR113W	1473	Verified	chrVIII	336337	337809	1
YHR114W	1902	Verified	chrVIII	338083	339984	1
YHR115C	1251	Verified	chrVIII	340109	341359	-1
YHR116W	456	Verified	chrVIII	341665	342120	1
YHR117W	1920	Verified	chrVIII	342349	344268	1
YHR118C	1308	Verified	chrVIII	344321	345628	-1
YHR119W	3243	Verified	chrVIII	346043	349285	1
YHR120W	2880	Verified	chrVIII	349574	352453	1
YHR121W	564	Verified	chrVIII	352756	353319	1
YHR122W	696	Verified	chrVIII	353625	354320	1
YHR123W	1267	Verified	chrVIII	354815	356081	1
YHR124W	1884	Verified	chrVIII	356561	358444	1
YHR125W	306	Uncharacterized	chrVIII	358858	359163	1
YHR126C	480	Uncharacterized	chrVIII	359702	360181	-1
YHR127W	732	Verified	chrVIII	360913	361644	1
YHR128W	651	Verified	chrVIII	362115	362765	1
YHR129C	1155	Verified	chrVIII	362999	364153	-1
YHR130C	336	Uncharacterized	chrVIII	364965	365300	-1
YHR131C	2553	Uncharacterized	chrVIII	365340	367892	-1
YHR132C	1293	Verified	chrVIII	368502	369794	-1
YHR133C	876	Verified	chrVIII	370722	371597	-1
YHR134W	810	Verified	chrVIII	371749	372558	1
YHR135C	1617	Verified	chrVIII	372694	374310	-1
YHR136C	447	Verified	chrVIII	374654	375100	-1
YHR137W	1542	Verified	chrVIII	375709	377250	1
YHR138C	345	Verified	chrVIII	377355	377699	-1
YHR139C	981	Verified	chrVIII	378219	379199	-1
YHR140W	720	Uncharacterized	chrVIII	380572	381291	1
YHR141C	762	Verified	chrVIII	381990	382751	-1
YHR142W	951	Verified	chrVIII	383538	384488	1
YHR143W-A	213	Verified	chrVIII	387233	387445	1
YHR143W	978	Verified	chrVIII	385510	386487	1
YHR144C	939	Verified	chrVIII	387788	388726	-1
YHR145C	357	Dubious	chrVIII	388981	389337	-1
YHR146W	1398	Verified	chrVIII	390300	391697	1
YHR147C	645	Verified	chrVIII	392639	393283	-1
YHR148W	552	Verified	chrVIII	393534	394085	1
YHR149C	2205	Verified	chrVIII	394455	396659	-1
YHR150W	1740	Verified	chrVIII	397251	398990	1
YHR151C	1581	Verified	chrVIII	399268	400848	-1
YHR152W	522	Verified	chrVIII	401434	401955	1
YHR153C	597	Verified	chrVIII	402086	402682	-1
YHR154W	3213	Verified	chrVIII	402966	406178	1
YHR155W	3687	Verified	chrVIII	407103	410789	1
YHR156C	1023	Verified	chrVIII	411384	412406	-1
YHR157W	549	Verified	chrVIII	412907	413455	1
YHR158C	3495	Verified	chrVIII	413685	417179	-1
YHR159W	1515	Uncharacterized	chrVIII	417549	419063	1
YHR160C	852	Verified	chrVIII	419221	420072	-1
YHR161C	1914	Verified	chrVIII	420373	422286	-1
YHR162W	390	Verified	chrVIII	423072	423461	1
YHR163W	750	Verified	chrVIII	423724	424473	1
YHR164C	4569	Verified	chrVIII	424610	429178	-1
YHR165C	7242	Verified	chrVIII	429707	436948	-1
YHR166C	1881	Verified	chrVIII	437170	439050	-1
YHR167W	786	Verified	chrVIII	439342	440127	1
YHR168W	1557	Verified	chrVIII	440377	441933	1
YHR169W	1296	Verified	chrVIII	442181	443476	1
YHR170W	1557	Verified	chrVIII	443828	445384	1
YHR171W	1893	Verified	chrVIII	445713	447605	1
YHR172W	2472	Verified	chrVIII	448335	450806	1
YHR173C	339	Uncharacterized	chrVIII	450815	451153	-1
YHR174W	1314	Verified	chrVIII	451327	452640	1
YHR175W	570	Verified	chrVIII	452872	453441	1
YHR176W	1299	Verified	chrVIII	454229	455527	1
YHR177W	1362	Verified	chrVIII	456591	457952	1
YHR178W	2232	Verified	chrVIII	459299	461530	1
YHR179W	1203	Verified	chrVIII	462502	463704	1
YHR180W	492	Uncharacterized	chrVIII	465178	465669	1
YHR181W	687	Verified	chrVIII	467228	467914	1
YHR182W	2358	Verified	chrVIII	468219	470576	1
YHR183W	1470	Verified	chrVIII	470960	472429	1
YHR184W	1716	Verified	chrVIII	472744	474459	1
YHR185C	714	Verified	chrVIII	474627	475340	-1
YHR186C	4674	Verified	chrVIII	475999	480672	-1
YHR187W	930	Verified	chrVIII	480990	481919	1
YHR188C	1833	Verified	chrVIII	482005	483837	-1
YHR189W	573	Verified	chrVIII	484028	484600	1
YHR190W	1335	Verified	chrVIII	484845	486179	1
YHR191C	402	Verified	chrVIII	486230	486631	-1
YHR192W	837	Verified	chrVIII	486826	487662	1
YHR193C	525	Verified	chrVIII	487712	488236	-1
YHR194W	1740	Verified	chrVIII	488657	490396	1
YHR195W	966	Verified	chrVIII	490747	491712	1
YHR196W	1728	Verified	chrVIII	491931	493658	1
YHR197W	2292	Verified	chrVIII	493896	496187	1
YHR198C	966	Verified	chrVIII	496315	497280	-1
YHR199C	933	Verified	chrVIII	497490	498422	-1
YHR200W	807	Verified	chrVIII	499079	499885	1
YHR201C	1194	Verified	chrVIII	499950	501143	-1
YHR202W	1809	Uncharacterized	chrVIII	502388	504196	1
YHR203C	1055	Verified	chrVIII	504476	505530	-1
YHR204W	2391	Verified	chrVIII	506319	508709	1
YHR205W	2475	Verified	chrVIII	509363	511837	1
YHR206W	1869	Verified	chrVIII	512732	514600	1
YHR207C	1581	Verified	chrVIII	514905	516485	-1
YHR208W	1182	Verified	chrVIII	517532	518713	1
YHR209W	876	Verified	chrVIII	519437	520312	1
YHR210C	1026	Uncharacterized	chrVIII	520712	521737	-1
YHR211W	3228	Verified	chrVIII	525392	528619	1
YHR212C	336	Dubious	chrVIII	537759	538094	-1
YHR213W	597	Uncharacterized	chrVIII	539151	539747	1
YHR214W	612	Uncharacterized	chrVIII	541651	542262	1
YHR215W	1404	Verified	chrVIII	552099	553502	1
YHR216W	1572	Verified	chrVIII	554396	555967	1
YHR217C	462	Dubious	chrVIII	556581	557042	-1
YHR218W	1911	Uncharacterized	chrVIII	558014	559924	1
YHR219W	1875	Uncharacterized	chrVIII	560173	562047	1
YIL001W	1542	Uncharacterized	chrIX	353940	355481	1
YIL002C	2841	Verified	chrIX	350591	353431	-1
YIL003W	882	Verified	chrIX	349122	350003	1
YIL004C	560	Verified	chrIX	347946	348505	-1
YIL005W	2106	Verified	chrIX	345692	347797	1
YIL006W	1122	Verified	chrIX	344062	345183	1
YIL007C	663	Verified	chrIX	342994	343656	-1
YIL008W	300	Verified	chrIX	342536	342835	1
YIL009W	2085	Verified	chrIX	339344	341428	1
YIL010W	648	Verified	chrIX	334882	335529	1
YIL011W	810	Verified	chrIX	333727	334536	1
YIL012W	342	Uncharacterized	chrIX	333011	333352	1
YIL013C	4236	Verified	chrIX	328207	332442	-1
YIL014W	1893	Verified	chrIX	326103	327995	1
YIL015W	1764	Verified	chrIX	322342	324105	1
YIL016W	480	Verified	chrIX	321454	321933	1
YIL017C	2766	Verified	chrIX	318200	320965	-1
YIL018W	1165	Verified	chrIX	316768	317932	1
YIL019W	1041	Verified	chrIX	315093	316133	1
YIL020C	786	Verified	chrIX	314035	314820	-1
YIL021W	957	Verified	chrIX	312905	313861	1
YIL022W	1296	Verified	chrIX	311165	312460	1
YIL023C	1041	Verified	chrIX	309386	310426	-1
YIL024C	570	Uncharacterized	chrIX	308602	309171	-1
YIL025C	375	Dubious	chrIX	308201	308575	-1
YIL026C	3453	Verified	chrIX	304477	307929	-1
YIL027C	426	Verified	chrIX	303679	304104	-1
YIL028W	399	Dubious	chrIX	302100	302498	1
YIL029C	429	Uncharacterized	chrIX	300829	301257	-1
YIL030C	3960	Verified	chrIX	296050	300009	-1
YIL031W	3105	Verified	chrIX	292633	295737	1
YIL032C	357	Dubious	chrIX	291961	292317	-1
YIL033C	1251	Verified	chrIX	290419	291669	-1
YIL034C	864	Verified	chrIX	289226	290089	-1
YIL035C	1119	Verified	chrIX	287790	288908	-1
YIL036W	1764	Verified	chrIX	285666	287429	1
YIL037C	1971	Verified	chrIX	283029	284999	-1
YIL038C	2511	Verified	chrIX	280142	282652	-1
YIL039W	1422	Verified	chrIX	278426	279847	1
YIL040W	417	Verified	chrIX	277723	278139	1
YIL041W	981	Verified	chrIX	276525	277505	1
YIL042C	1185	Verified	chrIX	275108	276292	-1
YIL043C	855	Verified	chrIX	274072	274926	-1
YIL044C	897	Verified	chrIX	272950	273846	-1
YIL045W	1617	Verified	chrIX	271161	272777	1
YIL046W	1923	Verified	chrIX	268651	270573	1
YIL047C	2709	Verified	chrIX	265115	267823	-1
YIL048W	3456	Verified	chrIX	261437	264892	1
YIL049W	762	Verified	chrIX	260158	260919	1
YIL050W	858	Verified	chrIX	258913	259770	1
YIL051C	438	Verified	chrIX	257843	258280	-1
YIL052C	838	Verified	chrIX	256226	257063	-1
YIL053W	753	Verified	chrIX	255115	255867	1
YIL054W	318	Uncharacterized	chrIX	254543	254860	1
YIL055C	1884	Uncharacterized	chrIX	252042	253925	-1
YIL056W	1923	Verified	chrIX	249991	251913	1
YIL057C	495	Verified	chrIX	247902	248396	-1
YIL058W	285	Dubious	chrIX	246914	247198	1
YIL059C	366	Dubious	chrIX	246550	246915	-1
YIL060W	435	Verified	chrIX	246392	246826	1
YIL061C	903	Verified	chrIX	244657	245559	-1
YIL062C	465	Verified	chrIX	243998	244462	-1
YIL063C	984	Verified	chrIX	242761	243744	-1
YIL064W	774	Verified	chrIX	241943	242716	1
YIL065C	468	Verified	chrIX	241308	241775	-1
YIL066C	2610	Verified	chrIX	238099	240708	-1
YIL067C	2037	Uncharacterized	chrIX	235724	237760	-1
YIL068C	2418	Verified	chrIX	233057	235474	-1
YIL069C	817	Verified	chrIX	231553	232369	-1
YIL070C	801	Verified	chrIX	230272	231072	-1
YIL071C	1335	Verified	chrIX	228660	229994	-1
YIL072W	1818	Verified	chrIX	226602	228419	1
YIL073C	3018	Verified	chrIX	222937	225954	-1
YIL074C	1410	Verified	chrIX	221081	222490	-1
YIL075C	2838	Verified	chrIX	217863	220700	-1
YIL076W	891	Verified	chrIX	216658	217548	1
YIL077C	963	Uncharacterized	chrIX	214991	215953	-1
YIL078W	2205	Verified	chrIX	212499	214703	1
YIL079C	1083	Verified	chrIX	210923	212005	-1
YIL082W	873	Dubious	chrIX	205635	206507	1
YIL083C	1098	Verified	chrIX	203556	204653	-1
YIL084C	984	Verified	chrIX	202276	203259	-1
YIL085C	1554	Verified	chrIX	200490	202043	-1
YIL086C	309	Uncharacterized	chrIX	200153	200461	-1
YIL087C	474	Verified	chrIX	199646	200119	-1
YIL088C	1473	Verified	chrIX	197931	199403	-1
YIL089W	618	Verified	chrIX	195599	196216	1
YIL090W	1476	Verified	chrIX	193595	195070	1
YIL091C	2166	Verified	chrIX	191030	193195	-1
YIL092W	1902	Uncharacterized	chrIX	189066	190967	1
YIL093C	795	Verified	chrIX	187990	188784	-1
YIL094C	1116	Verified	chrIX	186517	187632	-1
YIL095W	2433	Verified	chrIX	183937	186369	1
YIL096C	1011	Verified	chrIX	182117	183127	-1
YIL097W	1551	Verified	chrIX	180427	181977	1
YIL098C	468	Verified	chrIX	179772	180239	-1
YIL099W	1650	Verified	chrIX	178004	179653	1
YIL100W	354	Dubious	chrIX	177373	177726	1
YIL101C	1944	Verified	chrIX	175307	177250	-1
YIL102C	306	Uncharacterized	chrIX	174582	174887	-1
YIL103W	1278	Verified	chrIX	171751	173028	1
YIL104C	1524	Verified	chrIX	169982	171505	-1
YIL105C	2061	Verified	chrIX	167581	169641	-1
YIL106W	1030	Verified	chrIX	166415	167444	1
YIL107C	2484	Verified	chrIX	163278	165761	-1
YIL108W	2091	Verified	chrIX	160887	162977	1
YIL109C	2781	Verified	chrIX	157385	160165	-1
YIL110W	1134	Verified	chrIX	156045	157178	1
YIL111W	544	Verified	chrIX	155222	155765	1
YIL112W	3252	Verified	chrIX	151595	154846	1
YIL113W	630	Verified	chrIX	150559	151188	1
YIL114C	846	Verified	chrIX	149143	149988	-1
YIL115C	4383	Verified	chrIX	144327	148709	-1
YIL116W	1158	Verified	chrIX	142928	144085	1
YIL117C	957	Verified	chrIX	140613	141569	-1
YIL118W	696	Verified	chrIX	139752	140447	1
YIL119C	1224	Verified	chrIX	136654	137877	-1
YIL120W	1692	Verified	chrIX	134417	136108	1
YIL121W	1629	Verified	chrIX	132244	133872	1
YIL122W	1056	Verified	chrIX	130610	131665	1
YIL123W	1431	Verified	chrIX	128151	129581	1
YIL124W	894	Verified	chrIX	126204	127097	1
YIL125W	3045	Verified	chrIX	122689	125733	1
YIL126W	4080	Verified	chrIX	117992	122071	1
YIL127C	621	Uncharacterized	chrIX	117024	117644	-1
YIL128W	3099	Verified	chrIX	113806	116904	1
YIL129C	7131	Verified	chrIX	106107	113237	-1
YIL130W	2895	Verified	chrIX	102782	105676	1
YIL131C	1455	Verified	chrIX	100781	102235	-1
YIL132C	642	Verified	chrIX	99860	100501	-1
YIL133C	890	Verified	chrIX	98527	99416	-1
YIL134W	936	Verified	chrIX	97395	98330	1
YIL135C	1311	Verified	chrIX	95065	96375	-1
YIL136W	1182	Verified	chrIX	93619	94800	1
YIL137C	2841	Verified	chrIX	89948	92788	-1
YIL138C	486	Verified	chrIX	89230	89715	-1
YIL139C	738	Verified	chrIX	87979	88716	-1
YIL140W	2472	Verified	chrIX	85366	87837	1
YIL141W	390	Dubious	chrIX	85053	85442	1
YIL142W	1584	Verified	chrIX	83302	84885	1
YIL143C	2532	Verified	chrIX	80510	83041	-1
YIL144W	2076	Verified	chrIX	78074	80149	1
YIL145C	930	Verified	chrIX	76354	77283	-1
YIL146C	1590	Verified	chrIX	74184	75773	-1
YIL147C	3663	Verified	chrIX	69791	73453	-1
YIL148W	821	Verified	chrIX	68708	69528	1
YIL149C	5040	Verified	chrIX	63028	68067	-1
YIL150C	1716	Verified	chrIX	61013	62728	-1
YIL151C	3357	Verified	chrIX	57338	60694	-1
YIL152W	708	Uncharacterized	chrIX	56545	57252	1
YIL153W	1182	Verified	chrIX	55198	56379	1
YIL154C	1041	Verified	chrIX	53981	55021	-1
YIL155C	1950	Verified	chrIX	51759	53708	-1
YIL156W	3216	Verified	chrIX	48091	51306	1
YIL157C	594	Verified	chrIX	46949	47542	-1
YIL158W	615	Verified	chrIX	46201	46815	1
YIL159W	4128	Verified	chrIX	41825	45952	1
YIL160C	1254	Verified	chrIX	40191	41444	-1
YIL161W	708	Uncharacterized	chrIX	39433	40140	1
YIL162W	1599	Verified	chrIX	37385	38983	1
YIL163C	354	Uncharacterized	chrIX	36899	37252	-1
YIL164C	600	Verified	chrIX	34087	34686	-1
YIL165C	360	Uncharacterized	chrIX	33718	34077	-1
YIL166C	1629	Verified	chrIX	30938	32566	-1
YIL167W	1017	""	chrIX	29032	30048	1
YIL169C	2988	Verified	chrIX	23119	26106	-1
YIL170W	1374	""	chrIX	19847	21220	1
YIL171W	330	""	chrIX	19515	19844	1
YIL172C	1770	Verified	chrIX	16784	18553	-1
YIL173W	4650	Verified	chrIX	11492	16141	1
YIL174W	228	""	chrIX	9469	9696	1
YIL175W	318	""	chrIX	9183	9500	1
YIL176C	363	Uncharacterized	chrIX	8793	9155	-1
YIL177C	5665	Uncharacterized	chrIX	483	6147	-1
YIR001C	753	Verified	chrIX	356143	356895	-1
YIR002C	2982	Verified	chrIX	357415	360396	-1
YIR003W	2040	Verified	chrIX	360885	362924	1
YIR004W	1299	Verified	chrIX	363221	364519	1
YIR005W	447	Verified	chrIX	364889	365335	1
YIR006C	4443	Verified	chrIX	365466	369908	-1
YIR007W	2295	Verified	chrIX	370704	372998	1
YIR008C	1230	Verified	chrIX	373077	374306	-1
YIR009W	336	Verified	chrIX	374525	374860	1
YIR010W	1731	Verified	chrIX	375431	377161	1
YIR011C	960	Verified	chrIX	377287	378246	-1
YIR012W	1296	Verified	chrIX	378486	379781	1
YIR013C	366	Verified	chrIX	380019	380384	-1
YIR014W	729	Verified	chrIX	381086	381814	1
YIR015W	435	Verified	chrIX	381948	382382	1
YIR016W	798	Uncharacterized	chrIX	382628	383425	1
YIR017C	564	Verified	chrIX	383556	384119	-1
YIR018W	738	Verified	chrIX	384609	385346	1
YIR019C	4104	Verified	chrIX	389572	393675	-1
YIR020C	303	Uncharacterized	chrIX	394255	394557	-1
YIR021W	1092	Verified	chrIX	397294	398385	1
YIR022W	504	Verified	chrIX	398733	399236	1
YIR023W	2913	Verified	chrIX	399777	402689	1
YIR024C	651	Verified	chrIX	402841	403491	-1
YIR025W	1107	Verified	chrIX	403659	404765	1
YIR026C	1095	Verified	chrIX	404873	405967	-1
YIR027C	1383	Verified	chrIX	406260	407642	-1
YIR028W	1908	Verified	chrIX	408468	410375	1
YIR029W	1032	Verified	chrIX	410807	411838	1
YIR030C	735	Verified	chrIX	412036	412770	-1
YIR031C	1665	Verified	chrIX	413015	414679	-1
YIR032C	588	Verified	chrIX	415030	415617	-1
YIR033W	3342	Verified	chrIX	416124	419465	1
YIR034C	1122	Verified	chrIX	419615	420736	-1
YIR035C	765	Uncharacterized	chrIX	421026	421790	-1
YIR036C	792	Verified	chrIX	422074	422865	-1
YIR037W	492	Verified	chrIX	423128	423619	1
YIR038C	705	Verified	chrIX	423809	424513	-1
YIR039C	1614	Verified	chrIX	430498	432111	-1
YIR040C	333	Dubious	chrIX	433389	433721	-1
YIR041W	375	Verified	chrIX	433929	434303	1
YIR042C	711	Uncharacterized	chrIX	435273	435983	-1
YIR043C	1137	""	chrIX	437043	438179	-1
YKL001C	609	Verified	chrXI	438777	439385	-1
YKL002W	767	Verified	chrXI	437778	438544	1
YKL003C	396	Verified	chrXI	437097	437492	-1
YKL004W	1206	Verified	chrXI	435580	436785	1
YKL005C	1785	Verified	chrXI	433093	434877	-1
YKL006W	815	Verified	chrXI	431906	432720	1
YKL007W	807	Verified	chrXI	429302	430108	1
YKL008C	1257	Verified	chrXI	427295	428551	-1
YKL009W	711	Verified	chrXI	426242	426952	1
YKL010C	4452	Verified	chrXI	421424	425875	-1
YKL011C	1062	Verified	chrXI	420155	421216	-1
YKL012W	1752	Verified	chrXI	418310	420061	1
YKL013C	516	Verified	chrXI	417508	418023	-1
YKL014C	5295	Verified	chrXI	411619	416913	-1
YKL015W	2940	Verified	chrXI	408544	411483	1
YKL016C	525	Verified	chrXI	407465	407989	-1
YKL017C	2052	Verified	chrXI	405190	407241	-1
YKL018W	990	Verified	chrXI	404102	405091	1
YKL019W	951	Verified	chrXI	402568	403518	1
YKL020C	3249	Verified	chrXI	398832	402080	-1
YKL021C	1407	Verified	chrXI	397344	398750	-1
YKL022C	2523	Verified	chrXI	394726	397248	-1
YKL023W	834	Verified	chrXI	393721	394554	1
YKL024C	615	Verified	chrXI	392526	393140	-1
YKL025C	2040	Verified	chrXI	390240	392279	-1
YKL026C	504	Verified	chrXI	389380	389883	-1
YKL027W	1344	Verified	chrXI	387562	388905	1
YKL028W	1449	Verified	chrXI	385758	387206	1
YKL029C	2010	Verified	chrXI	382716	384725	-1
YKL030W	606	Dubious	chrXI	382498	383103	1
YKL031W	414	Dubious	chrXI	382072	382485	1
YKL032C	1794	Verified	chrXI	380065	381858	-1
YKL033W	3117	Verified	chrXI	375456	378572	1
YKL034W	2277	Verified	chrXI	371829	374105	1
YKL035W	1500	Verified	chrXI	369891	371390	1
YKL036C	393	Dubious	chrXI	369528	369920	-1
YKL037W	357	Verified	chrXI	369365	369721	1
YKL038W	3513	Verified	chrXI	365605	369117	1
YKL039W	1572	Verified	chrXI	362622	364193	1
YKL040C	771	Verified	chrXI	361058	361828	-1
YKL041W	675	Verified	chrXI	360143	360817	1
YKL042W	1092	Verified	chrXI	358475	359566	1
YKL043W	1101	Verified	chrXI	356748	357848	1
YKL044W	321	Verified	chrXI	356322	356642	1
YKL045W	1587	Verified	chrXI	353493	355079	1
YKL046C	1350	Verified	chrXI	351275	352624	-1
YKL047W	1551	Verified	chrXI	349463	351013	1
YKL048C	1923	Verified	chrXI	347214	349136	-1
YKL049C	690	Verified	chrXI	346075	346764	-1
YKL050C	2769	Verified	chrXI	342852	345620	-1
YKL051W	1062	Verified	chrXI	341312	342373	1
YKL052C	879	Verified	chrXI	339668	340546	-1
YKL053W	375	Dubious	chrXI	339572	339946	1
YKL054C	2217	Verified	chrXI	336537	338753	-1
YKL055C	837	Verified	chrXI	335321	336157	-1
YKL056C	504	Verified	chrXI	334412	334915	-1
YKL057C	3114	Verified	chrXI	330856	333969	-1
YKL058W	369	Verified	chrXI	330166	330534	1
YKL059C	1326	Verified	chrXI	328118	329443	-1
YKL060C	1080	Verified	chrXI	326408	327487	-1
YKL061W	342	Verified	chrXI	325771	326112	1
YKL062W	1893	Verified	chrXI	323228	325120	1
YKL063C	504	Uncharacterized	chrXI	321015	321518	-1
YKL064W	2910	Verified	chrXI	317764	320673	1
YKL065C	621	Verified	chrXI	316437	317057	-1
YKL066W	444	Dubious	chrXI	315281	315724	1
YKL067W	462	Verified	chrXI	314812	315273	1
YKL068W	2880	Verified	chrXI	310199	313078	1
YKL069W	543	Verified	chrXI	307285	307827	1
YKL070W	510	Uncharacterized	chrXI	306211	306720	1
YKL071W	771	Verified	chrXI	305114	305884	1
YKL072W	2301	Verified	chrXI	299582	301882	1
YKL073W	2646	Verified	chrXI	296430	299075	1
YKL074C	1584	Verified	chrXI	294610	296193	-1
YKL075C	1353	Uncharacterized	chrXI	292956	294308	-1
YKL076C	384	Dubious	chrXI	292838	293221	-1
YKL077W	1179	Verified	chrXI	291453	292631	1
YKL078W	2208	Verified	chrXI	288845	291052	1
YKL079W	1971	Verified	chrXI	286603	288573	1
YKL080W	1179	Verified	chrXI	285030	286208	1
YKL081W	1565	Verified	chrXI	282891	284455	1
YKL082C	1305	Verified	chrXI	281025	282329	-1
YKL083W	615	Dubious	chrXI	280921	281535	1
YKL084W	351	Verified	chrXI	280509	280859	1
YKL085W	1005	Verified	chrXI	279123	280127	1
YKL086W	384	Verified	chrXI	278281	278664	1
YKL087C	675	Verified	chrXI	277189	277863	-1
YKL088W	1716	Verified	chrXI	275283	276998	1
YKL089W	1650	Verified	chrXI	273394	275043	1
YKL090W	1332	Verified	chrXI	271878	273209	1
YKL091C	933	Verified	chrXI	269718	270650	-1
YKL092C	3315	Verified	chrXI	266145	269459	-1
YKL093W	1020	Verified	chrXI	264789	265808	1
YKL094W	942	Verified	chrXI	263349	264290	1
YKL095W	837	Verified	chrXI	262277	263113	1
YKL096W	720	Verified	chrXI	261132	261851	1
YKL097C	411	Uncharacterized	chrXI	258503	258913	-1
YKL098W	1074	Verified	chrXI	256770	257843	1
YKL099C	753	Verified	chrXI	255720	256472	-1
YKL100C	1764	Verified	chrXI	253697	255460	-1
YKL101W	4557	Verified	chrXI	248920	253476	1
YKL102C	306	Uncharacterized	chrXI	248062	248367	-1
YKL103C	1545	Verified	chrXI	246138	247682	-1
YKL104C	2154	Verified	chrXI	243220	245373	-1
YKL105C	3399	Verified	chrXI	239185	242583	-1
YKL106W	1356	Verified	chrXI	237536	238891	1
YKL107W	930	Verified	chrXI	236141	237070	1
YKL108W	1362	Verified	chrXI	234426	235787	1
YKL109W	1665	Verified	chrXI	232227	233891	1
YKL110C	942	Verified	chrXI	228939	229880	-1
YKL111C	336	Dubious	chrXI	228464	228799	-1
YKL112W	2196	Verified	chrXI	226570	228765	1
YKL113C	1149	Verified	chrXI	224727	225875	-1
YKL114C	1104	Verified	chrXI	223352	224455	-1
YKL115C	393	Dubious	chrXI	222893	223285	-1
YKL116C	1557	Verified	chrXI	221344	222900	-1
YKL117W	651	Verified	chrXI	220324	220974	1
YKL118W	312	Dubious	chrXI	219126	219437	1
YKL119C	648	Verified	chrXI	218570	219217	-1
YKL120W	975	Verified	chrXI	217344	218318	1
YKL121W	2559	Uncharacterized	chrXI	214142	216700	1
YKL122C	504	Verified	chrXI	212495	212998	-1
YKL123W	381	Dubious	chrXI	212043	212423	1
YKL124W	1740	Verified	chrXI	210593	212332	1
YKL125W	1884	Verified	chrXI	208247	210130	1
YKL126W	2043	Verified	chrXI	205707	207749	1
YKL127W	1713	Verified	chrXI	203541	205253	1
YKL128C	888	Verified	chrXI	200884	201771	-1
YKL129C	3819	Verified	chrXI	196349	200167	-1
YKL130C	741	Verified	chrXI	195288	196028	-1
YKL131W	522	Dubious	chrXI	194478	194999	1
YKL132C	1293	Verified	chrXI	193574	194866	-1
YKL133C	1392	Uncharacterized	chrXI	191679	193070	-1
YKL134C	2319	Verified	chrXI	189124	191442	-1
YKL135C	2181	Verified	chrXI	186460	188640	-1
YKL136W	399	Dubious	chrXI	186416	186814	1
YKL137W	336	Verified	chrXI	185957	186292	1
YKL138C	396	Verified	chrXI	185286	185681	-1
YKL139W	1587	Verified	chrXI	182958	184544	1
YKL140W	1647	Verified	chrXI	180779	182425	1
YKL141W	597	Verified	chrXI	179667	180263	1
YKL142W	660	Verified	chrXI	178515	179174	1
YKL143W	1392	Verified	chrXI	176781	178172	1
YKL144C	639	Verified	chrXI	175843	176481	-1
YKL145W	1404	Verified	chrXI	174213	175616	1
YKL146W	2079	Verified	chrXI	171783	173861	1
YKL147C	618	Dubious	chrXI	171551	172168	-1
YKL148C	1923	Verified	chrXI	169207	171129	-1
YKL149C	1218	Verified	chrXI	167612	168829	-1
YKL150W	909	Verified	chrXI	166544	167452	1
YKL151C	1014	Verified	chrXI	164917	165930	-1
YKL152C	744	Verified	chrXI	163642	164385	-1
YKL153W	510	Dubious	chrXI	163600	164109	1
YKL154W	735	Verified	chrXI	161601	162335	1
YKL155C	1887	Verified	chrXI	159456	161342	-1
YKL156W	600	Verified	chrXI	158613	159212	1
YKL157W	3242	Verified	chrXI	154991	158232	1
YKL159C	636	Verified	chrXI	153816	154451	-1
YKL160W	438	Verified	chrXI	153269	153706	1
YKL161C	1302	Verified	chrXI	149386	150687	-1
YKL162C	1209	Uncharacterized	chrXI	147630	148838	-1
YKL163W	978	Verified	chrXI	144401	145378	1
YKL164C	1026	Verified	chrXI	141794	142819	-1
YKL165C	2760	Verified	chrXI	137932	140691	-1
YKL166C	1197	Verified	chrXI	134509	135705	-1
YKL167C	414	Verified	chrXI	133721	134134	-1
YKL168C	2175	Verified	chrXI	131288	133462	-1
YKL169C	384	Dubious	chrXI	130685	131068	-1
YKL170W	417	Verified	chrXI	130634	131050	1
YKL171W	2787	Verified	chrXI	127475	130261	1
YKL172W	1284	Verified	chrXI	125759	127042	1
YKL173W	3027	Verified	chrXI	122517	125543	1
YKL174C	1857	Verified	chrXI	120380	122236	-1
YKL175W	1512	Verified	chrXI	118793	120304	1
YKL176C	2487	Verified	chrXI	115500	117986	-1
YKL177W	339	Dubious	chrXI	114356	114694	1
YKL178C	1413	Verified	chrXI	113215	114627	-1
YKL179C	2040	Verified	chrXI	110464	112503	-1
YKL180W	861	Verified	chrXI	109269	110129	1
YKL181W	1284	Verified	chrXI	107316	108599	1
YKL182W	6156	Verified	chrXI	100671	106826	1
YKL183W	921	Verified	chrXI	98721	99641	1
YKL184W	1401	Verified	chrXI	96757	98157	1
YKL185W	1767	Verified	chrXI	94499	96265	1
YKL186C	555	Verified	chrXI	92744	93298	-1
YKL187C	2253	Verified	chrXI	89284	91536	-1
YKL188C	2562	Verified	chrXI	86225	88786	-1
YKL189W	1200	Verified	chrXI	84704	85903	1
