Gene.secondaryIdentifier	Gene.transcripts.chromosome.primaryIdentifier	Gene.transcripts.UTRs.chromosomeLocation.start	Gene.transcripts.UTRs.chromosomeLocation.end	Gene.chromosomeLocation.strand	Gene.transcripts.UTRs.primaryIdentifier
YDR089W	chrIV	622031	622111	1	YDR089W_id001-5prime-utr
YDR089W	chrIV	624722	624812	1	YDR089W_id001-3prime-utr
YDR090C	chrIV	624684	625065	-1	YDR090C_id001-3prime-utr
YDR090C	chrIV	625999	626122	-1	YDR090C_id001-5prime-utr
YDR091C	chrIV	626366	626707	-1	YDR091C_id001-3prime-utr
YDR091C	chrIV	628535	628641	-1	YDR091C_id001-5prime-utr
YDR092W	chrIV	629463	629875	1	YDR092W_id001-5prime-utr
YDR092W	chrIV	630606	630699	1	YDR092W_id001-3prime-utr
YDR094W	chrIV	632619	635839	1	YDR094W_id001-5prime-utr
YDR094W	chrIV	636176	636180	1	YDR094W_id001-3prime-utr
YDR096W	chrIV	637125	637138	1	YDR096W_id001-5prime-utr
YDR096W	chrIV	639824	640055	1	YDR096W_id001-3prime-utr
YDR097C	chrIV	640027	640108	-1	YDR097C_id001-3prime-utr
YDR097C	chrIV	643838	643930	-1	YDR097C_id001-5prime-utr
YDR098C	chrIV	643879	644177	-1	YDR098C_id001-3prime-utr
YDR098C	chrIV	644931	644975	-1	YDR098C_id001-5prime-utr
YDR099W	chrIV	652661	653606	1	YDR099W_id001-5prime-utr
YDR099W	chrIV	654429	654775	1	YDR099W_id001-3prime-utr
YDR100W	chrIV	653359	655012	1	YDR100W_id001-5prime-utr
YDR100W	chrIV	655445	655570	1	YDR100W_id001-3prime-utr
YDR101C	chrIV	655567	655685	-1	YDR101C_id001-3prime-utr
YDR101C	chrIV	657468	657539	-1	YDR101C_id001-5prime-utr
YDR103W	chrIV	657739	658349	1	YDR103W_id001-5prime-utr
YDR103W	chrIV	661104	661149	1	YDR103W_id001-3prime-utr
YDR104C	chrIV	661137	661172	-1	YDR104C_id001-3prime-utr
YDR104C	chrIV	664911	664959	-1	YDR104C_id001-5prime-utr
YDR105C	chrIV	665269	665348	-1	YDR105C_id001-3prime-utr
YDR105C	chrIV	666771	667039	-1	YDR105C_id001-5prime-utr
YDR106W	chrIV	666982	667003	1	YDR106W_id001-5prime-utr
YDR106W	chrIV	667859	667905	1	YDR106W_id001-3prime-utr
YDR107C	chrIV	668652	669015	-1	YDR107C_id001-3prime-utr
YDR107C	chrIV	671035	671061	-1	YDR107C_id001-5prime-utr
YDR108W	chrIV	670257	671268	1	YDR108W_id001-5prime-utr
YDR108W	chrIV	673366	673464	1	YDR108W_id001-3prime-utr
YDR109C	chrIV	673372	673519	-1	YDR109C_id001-3prime-utr
YDR109C	chrIV	675668	675926	-1	YDR109C_id001-5prime-utr
YDR110W	chrIV	676047	676101	1	YDR110W_id001-5prime-utr
YDR110W	chrIV	677803	678004	1	YDR110W_id001-3prime-utr
YDR111C	chrIV	677782	678240	-1	YDR111C_id001-3prime-utr
YDR111C	chrIV	679765	679985	-1	YDR111C_id001-5prime-utr
YDR113C	chrIV	680422	680495	-1	YDR113C_id001-3prime-utr
YDR113C	chrIV	681618	681948	-1	YDR113C_id001-5prime-utr
YDR115W	chrIV	682135	682174	1	YDR115W_id001-5prime-utr
YDR115W	chrIV	682493	682856	1	YDR115W_id001-3prime-utr
YDR116C	chrIV	682491	682723	-1	YDR116C_id001-3prime-utr
YDR116C	chrIV	683582	683588	-1	YDR116C_id001-5prime-utr
YDR117C	chrIV	683679	683945	-1	YDR117C_id001-3prime-utr
YDR117C	chrIV	685644	685681	-1	YDR117C_id001-5prime-utr
YDR118W-A	chrIV	686354	687767	1	YDR118W-A_id001-5prime-utr
YDR118W-A	chrIV	687885	688005	1	YDR118W-A_id001-3prime-utr
YDR119W	chrIV	688122	688226	1	YDR119W_id001-5prime-utr
YDR119W	chrIV	690534	690612	1	YDR119W_id001-3prime-utr
YDR119W-A	chrIV	690951	691013	1	YDR119W-A_id001-5prime-utr
YDR119W-A	chrIV	691215	691548	1	YDR119W-A_id001-3prime-utr
YDR121W	chrIV	693475	693584	1	YDR121W_id001-5prime-utr
YDR121W	chrIV	694176	694431	1	YDR121W_id001-3prime-utr
YDR123C	chrIV	697816	698553	-1	YDR123C_id001-3prime-utr
YDR123C	chrIV	699469	699544	-1	YDR123C_id001-5prime-utr
YDR124W	chrIV	699799	700314	1	YDR124W_id001-5prime-utr
YDR124W	chrIV	701290	701693	1	YDR124W_id001-3prime-utr
YDR126W	chrIV	703182	703233	1	YDR126W_id001-5prime-utr
YDR126W	chrIV	704245	704498	1	YDR126W_id001-3prime-utr
YDR127W	chrIV	704408	704483	1	YDR127W_id001-5prime-utr
YDR127W	chrIV	709251	709320	1	YDR127W_id001-3prime-utr
YDR129C	chrIV	713198	713339	-1	YDR129C_id001-3prime-utr
YDR129C	chrIV	715380	716016	-1	YDR129C_id001-5prime-utr
YDR130C	chrIV	715361	715746	-1	YDR130C_id001-3prime-utr
YDR130C	chrIV	716623	716642	-1	YDR130C_id001-5prime-utr
YDR131C	chrIV	716688	716789	-1	YDR131C_id001-3prime-utr
YDR131C	chrIV	718461	718532	-1	YDR131C_id001-5prime-utr
YDR132C	chrIV	718699	718815	-1	YDR132C_id001-3prime-utr
YDR132C	chrIV	720304	720506	-1	YDR132C_id001-5prime-utr
YDR133C	chrIV	720766	720961	-1	YDR133C_id001-3prime-utr
YDR133C	chrIV	721298	721830	-1	YDR133C_id001-5prime-utr
YDR135C	chrIV	722898	723003	-1	YDR135C_id001-3prime-utr
YDR135C	chrIV	727552	727594	-1	YDR135C_id001-5prime-utr
YDR137W	chrIV	728154	728258	1	YDR137W_id001-5prime-utr
YDR137W	chrIV	730251	730407	1	YDR137W_id001-3prime-utr
YDR138W	chrIV	730566	730577	1	YDR138W_id001-5prime-utr
YDR138W	chrIV	732837	733471	1	YDR138W_id001-3prime-utr
YDR139C	chrIV	733445	733617	-1	YDR139C_id001-3prime-utr
YDR139C	chrIV	733925	734180	-1	YDR139C_id001-5prime-utr
YDR140W	chrIV	733459	734137	1	YDR140W_id001-5prime-utr
YDR140W	chrIV	734804	734899	1	YDR140W_id001-3prime-utr
YDR142C	chrIV	740347	740472	-1	YDR142C_id001-3prime-utr
YDR142C	chrIV	741601	741817	-1	YDR142C_id001-5prime-utr
YDR143C	chrIV	741848	742041	-1	YDR143C_id001-3prime-utr
YDR143C	chrIV	743875	744047	-1	YDR143C_id001-5prime-utr
YDR144C	chrIV	743921	744310	-1	YDR144C_id001-3prime-utr
YDR144C	chrIV	746102	746241	-1	YDR144C_id001-5prime-utr
YDR145W	chrIV	746502	746737	1	YDR145W_id001-5prime-utr
YDR145W	chrIV	748358	748491	1	YDR145W_id001-3prime-utr
YDR146C	chrIV	748547	748612	-1	YDR146C_id001-3prime-utr
YDR146C	chrIV	750743	750909	-1	YDR146C_id001-5prime-utr
YDR147W	chrIV	751178	751630	1	YDR147W_id001-5prime-utr
YDR147W	chrIV	753236	753272	1	YDR147W_id001-3prime-utr
YDR148C	chrIV	753348	753674	-1	YDR148C_id001-3prime-utr
YDR148C	chrIV	755067	755319	-1	YDR148C_id001-5prime-utr
YDR151C	chrIV	763860	764177	-1	YDR151C_id001-3prime-utr
YDR151C	chrIV	765156	765332	-1	YDR151C_id001-5prime-utr
YDR152W	chrIV	764775	765705	1	YDR152W_id001-5prime-utr
YDR152W	chrIV	766504	766591	1	YDR152W_id001-3prime-utr
YDR153C	chrIV	766491	766735	-1	YDR153C_id001-3prime-utr
YDR153C	chrIV	767972	768104	-1	YDR153C_id001-5prime-utr
YDR154C	chrIV	768346	768402	-1	YDR154C_id001-3prime-utr
YDR154C	chrIV	768754	768999	-1	YDR154C_id001-5prime-utr
YDR155C	chrIV	768405	768511	-1	YDR155C_id001-3prime-utr
YDR155C	chrIV	769001	769140	-1	YDR155C_id001-5prime-utr
YDR156W	chrIV	768658	769524	1	YDR156W_id001-5prime-utr
YDR156W	chrIV	769939	770031	1	YDR156W_id001-3prime-utr
YDR158W	chrIV	770295	770356	1	YDR158W_id001-5prime-utr
YDR158W	chrIV	771455	771679	1	YDR158W_id001-3prime-utr
YDR161W	chrIV	778995	779042	1	YDR161W_id001-5prime-utr
YDR161W	chrIV	780207	780428	1	YDR161W_id001-3prime-utr
YDR162C	chrIV	780199	780389	-1	YDR162C_id001-3prime-utr
YDR162C	chrIV	781101	781433	-1	YDR162C_id001-5prime-utr
YDR163W	chrIV	781368	781422	1	YDR163W_id001-5prime-utr
YDR163W	chrIV	781951	782055	1	YDR163W_id001-3prime-utr
YDR164C	chrIV	781858	782040	-1	YDR164C_id001-3prime-utr
YDR164C	chrIV	784216	784257	-1	YDR164C_id001-5prime-utr
YDR165W	chrIV	784859	784870	1	YDR165W_id001-5prime-utr
YDR165W	chrIV	786206	786857	1	YDR165W_id001-3prime-utr
YDR166C	chrIV	786206	786305	-1	YDR166C_id001-3prime-utr
YDR166C	chrIV	789222	789270	-1	YDR166C_id001-5prime-utr
YDR167W	chrIV	789417	789448	1	YDR167W_id001-5prime-utr
YDR167W	chrIV	790070	790262	1	YDR167W_id001-3prime-utr
YDR168W	chrIV	790274	790327	1	YDR168W_id001-5prime-utr
YDR168W	chrIV	791849	792106	1	YDR168W_id001-3prime-utr
YDR169C	chrIV	791954	792347	-1	YDR169C_id001-3prime-utr
YDR169C	chrIV	793890	794255	-1	YDR169C_id001-5prime-utr
YDR171W	chrIV	806535	806620	1	YDR171W_id001-5prime-utr
YDR171W	chrIV	807749	807843	1	YDR171W_id001-3prime-utr
YDR172W	chrIV	808259	808323	1	YDR172W_id001-5prime-utr
YDR172W	chrIV	810382	810560	1	YDR172W_id001-3prime-utr
YDR173C	chrIV	810425	810564	-1	YDR173C_id001-3prime-utr
YDR173C	chrIV	811633	811695	-1	YDR173C_id001-5prime-utr
YDR174W	chrIV	810908	812109	1	YDR174W_id001-5prime-utr
YDR174W	chrIV	812851	813022	1	YDR174W_id001-3prime-utr
YDR175C	chrIV	813016	813192	-1	YDR175C_id001-3prime-utr
YDR175C	chrIV	814153	815174	-1	YDR175C_id001-5prime-utr
YDR176W	chrIV	814417	814451	1	YDR176W_id001-5prime-utr
YDR176W	chrIV	816561	816888	1	YDR176W_id001-3prime-utr
YDR177W	chrIV	816762	816877	1	YDR177W_id001-5prime-utr
YDR177W	chrIV	817526	817718	1	YDR177W_id001-3prime-utr
YDR178W	chrIV	817848	817949	1	YDR178W_id001-5prime-utr
YDR178W	chrIV	818496	819017	1	YDR178W_id001-3prime-utr
YDR179C	chrIV	818559	818707	-1	YDR179C_id001-3prime-utr
YDR179C	chrIV	819197	819231	-1	YDR179C_id001-5prime-utr
YDR179W-A	chrIV	819335	819432	1	YDR179W-A_id001-5prime-utr
YDR179W-A	chrIV	820825	820988	1	YDR179W-A_id001-3prime-utr
YDR180W	chrIV	821145	821294	1	YDR180W_id001-5prime-utr
YDR180W	chrIV	825777	825827	1	YDR180W_id001-3prime-utr
YDR181C	chrIV	825732	825909	-1	YDR181C_id001-3prime-utr
YDR181C	chrIV	827356	827414	-1	YDR181C_id001-5prime-utr
YDR182W	chrIV	827524	827581	1	YDR182W_id001-5prime-utr
YDR182W	chrIV	829058	829215	1	YDR182W_id001-3prime-utr
YDR182W-A	chrIV	827769	829150	1	YDR182W-A_id001-5prime-utr
YDR182W-A	chrIV	829355	829419	1	YDR182W-A_id001-3prime-utr
YDR183C-A	chrIV	830388	830396	-1	YDR183C-A_id001-3prime-utr
YDR183C-A	chrIV	830655	831409	-1	YDR183C-A_id001-5prime-utr
YDR183W	chrIV	829164	829584	1	YDR183W_id001-5prime-utr
YDR183W	chrIV	830278	830298	1	YDR183W_id001-3prime-utr
YDR184C	chrIV	830407	830628	-1	YDR184C_id001-3prime-utr
YDR184C	chrIV	831514	831583	-1	YDR184C_id001-5prime-utr
YDR185C	chrIV	831688	831933	-1	YDR185C_id001-3prime-utr
YDR185C	chrIV	832474	832576	-1	YDR185C_id001-5prime-utr
YDR186C	chrIV	832737	832858	-1	YDR186C_id001-3prime-utr
YDR186C	chrIV	835493	835708	-1	YDR186C_id001-5prime-utr
YDR188W	chrIV	835647	836420	1	YDR188W_id001-5prime-utr
YDR188W	chrIV	838062	838223	1	YDR188W_id001-3prime-utr
YDR189W	chrIV	838336	838391	1	YDR189W_id001-5prime-utr
YDR189W	chrIV	840393	840506	1	YDR189W_id001-3prime-utr
YDR190C	chrIV	840304	840603	-1	YDR190C_id001-3prime-utr
YDR190C	chrIV	841996	842041	-1	YDR190C_id001-5prime-utr
YDR191W	chrIV	842269	842336	1	YDR191W_id001-5prime-utr
YDR191W	chrIV	843450	843558	1	YDR191W_id001-3prime-utr
YDR192C	chrIV	843478	843568	-1	YDR192C_id001-3prime-utr
YDR192C	chrIV	844862	845309	-1	YDR192C_id001-5prime-utr
YDR194C	chrIV	845797	845951	-1	YDR194C_id001-3prime-utr
YDR194C	chrIV	847947	847981	-1	YDR194C_id001-5prime-utr
YDR195W	chrIV	848174	848598	1	YDR195W_id001-5prime-utr
YDR195W	chrIV	850201	850284	1	YDR195W_id001-3prime-utr
YDR196C	chrIV	850181	850273	-1	YDR196C_id001-3prime-utr
YDR196C	chrIV	851000	851770	-1	YDR196C_id001-5prime-utr
YDR197W	chrIV	851195	851227	1	YDR197W_id001-5prime-utr
YDR197W	chrIV	852398	852768	1	YDR197W_id001-3prime-utr
YDR198C	chrIV	852343	852532	-1	YDR198C_id001-3prime-utr
YDR198C	chrIV	853973	853986	-1	YDR198C_id001-5prime-utr
YDR200C	chrIV	854143	854278	-1	YDR200C_id001-3prime-utr
YDR200C	chrIV	856094	856546	-1	YDR200C_id001-5prime-utr
YDR201W	chrIV	855563	856316	1	YDR201W_id001-5prime-utr
YDR201W	chrIV	856815	856937	1	YDR201W_id001-3prime-utr
YDR202C	chrIV	856589	856897	-1	YDR202C_id001-3prime-utr
YDR202C	chrIV	857954	857984	-1	YDR202C_id001-5prime-utr
YDR204W	chrIV	858125	858136	1	YDR204W_id001-5prime-utr
YDR204W	chrIV	859145	859416	1	YDR204W_id001-3prime-utr
YDR205W	chrIV	859333	859345	1	YDR205W_id001-5prime-utr
YDR205W	chrIV	861521	861621	1	YDR205W_id001-3prime-utr
YDR207C	chrIV	864918	865011	-1	YDR207C_id001-3prime-utr
YDR207C	chrIV	867523	867591	-1	YDR207C_id001-5prime-utr
YDR208W	chrIV	868034	868223	1	YDR208W_id001-5prime-utr
YDR208W	chrIV	870564	870697	1	YDR208W_id001-3prime-utr
YDR210W	chrIV	870813	871073	1	YDR210W_id001-5prime-utr
YDR210W	chrIV	871302	871707	1	YDR210W_id001-3prime-utr
YDR211W	chrIV	884639	884726	1	YDR211W_id001-5prime-utr
YDR211W	chrIV	886866	887205	1	YDR211W_id001-3prime-utr
YDR212W	chrIV	887164	887231	1	YDR212W_id001-5prime-utr
YDR212W	chrIV	888912	889651	1	YDR212W_id001-3prime-utr
YDR213W	chrIV	889509	889750	1	YDR213W_id001-5prime-utr
YDR213W	chrIV	892493	892532	1	YDR213W_id001-3prime-utr
YDR214W	chrIV	892759	892874	1	YDR214W_id001-5prime-utr
YDR214W	chrIV	893928	894476	1	YDR214W_id001-3prime-utr
YDR215C	chrIV	892607	894088	-1	YDR215C_id001-3prime-utr
YDR215C	chrIV	894503	894623	-1	YDR215C_id001-5prime-utr
YDR219C	chrIV	905200	905454	-1	YDR219C_id001-3prime-utr
YDR219C	chrIV	906853	907056	-1	YDR219C_id001-5prime-utr
YDR221W	chrIV	907294	907329	1	YDR221W_id001-5prime-utr
YDR221W	chrIV	909439	910074	1	YDR221W_id001-3prime-utr
YDR222W	chrIV	909490	910053	1	YDR222W_id001-5prime-utr
YDR222W	chrIV	911302	911434	1	YDR222W_id001-3prime-utr
YDR223W	chrIV	911983	912098	1	YDR223W_id001-5prime-utr
YDR223W	chrIV	913503	913856	1	YDR223W_id001-3prime-utr
YDR224C	chrIV	914190	914316	-1	YDR224C_id001-3prime-utr
YDR224C	chrIV	914713	914869	-1	YDR224C_id001-5prime-utr
YDR225W	chrIV	914833	915529	1	YDR225W_id001-5prime-utr
YDR225W	chrIV	915929	916083	1	YDR225W_id001-3prime-utr
YDR226W	chrIV	916197	916485	1	YDR226W_id001-5prime-utr
YDR226W	chrIV	917155	917271	1	YDR226W_id001-3prime-utr
YDR227W	chrIV	917444	917570	1	YDR227W_id001-5prime-utr
YDR227W	chrIV	921648	921813	1	YDR227W_id001-3prime-utr
YDR228C	chrIV	921859	921925	-1	YDR228C_id001-3prime-utr
YDR228C	chrIV	923807	923919	-1	YDR228C_id001-5prime-utr
YDR229W	chrIV	924644	924784	1	YDR229W_id001-5prime-utr
YDR229W	chrIV	926147	926210	1	YDR229W_id001-3prime-utr
YDR231C	chrIV	925996	926292	-1	YDR231C_id001-3prime-utr
YDR231C	chrIV	926911	926970	-1	YDR231C_id001-5prime-utr
YDR232W	chrIV	927201	927451	1	YDR232W_id001-5prime-utr
YDR232W	chrIV	929099	929526	1	YDR232W_id001-3prime-utr
YDR233C	chrIV	929324	929469	-1	YDR233C_id001-3prime-utr
YDR233C	chrIV	930358	930646	-1	YDR233C_id001-5prime-utr
YDR234W	chrIV	930887	931128	1	YDR234W_id001-5prime-utr
YDR234W	chrIV	933211	933312	1	YDR234W_id001-3prime-utr
YDR235W	chrIV	933473	933503	1	YDR235W_id001-5prime-utr
YDR235W	chrIV	935139	935221	1	YDR235W_id001-3prime-utr
YDR236C	chrIV	935127	935235	-1	YDR236C_id001-3prime-utr
YDR236C	chrIV	935893	936352	-1	YDR236C_id001-5prime-utr
YDR237W	chrIV	936420	936614	1	YDR237W_id001-5prime-utr
YDR237W	chrIV	937494	937767	1	YDR237W_id001-3prime-utr
YDR238C	chrIV	937508	937894	-1	YDR238C_id001-3prime-utr
YDR238C	chrIV	940817	940839	-1	YDR238C_id001-5prime-utr
YDR239C	chrIV	940981	941056	-1	YDR239C_id001-3prime-utr
YDR239C	chrIV	943421	943474	-1	YDR239C_id001-5prime-utr
YDR240C	chrIV	943615	943673	-1	YDR240C_id001-3prime-utr
YDR240C	chrIV	945153	945205	-1	YDR240C_id001-5prime-utr
YDR242W	chrIV	946688	946806	1	YDR242W_id001-5prime-utr
YDR242W	chrIV	948457	948601	1	YDR242W_id001-3prime-utr
YDR243C	chrIV	946914	948517	-1	YDR243C_id001-3prime-utr
YDR243C	chrIV	950285	950313	-1	YDR243C_id001-5prime-utr
YDR244W	chrIV	950503	950562	1	YDR244W_id001-5prime-utr
YDR244W	chrIV	952402	952595	1	YDR244W_id001-3prime-utr
YDR245W	chrIV	952678	952799	1	YDR245W_id001-5prime-utr
YDR245W	chrIV	953982	954132	1	YDR245W_id001-3prime-utr
YDR246W	chrIV	954253	954287	1	YDR246W_id001-5prime-utr
YDR246W	chrIV	954948	955151	1	YDR246W_id001-3prime-utr
YDR247W	chrIV	955644	956012	1	YDR247W_id001-5prime-utr
YDR247W	chrIV	957399	957788	1	YDR247W_id001-3prime-utr
YDR248C	chrIV	957485	957757	-1	YDR248C_id001-3prime-utr
YDR248C	chrIV	958340	958409	-1	YDR248C_id001-5prime-utr
YDR249C	chrIV	958558	958680	-1	YDR249C_id001-3prime-utr
YDR249C	chrIV	959803	960114	-1	YDR249C_id001-5prime-utr
YDR250C	chrIV	959958	960085	-1	YDR250C_id001-3prime-utr
YDR250C	chrIV	960362	960527	-1	YDR250C_id001-5prime-utr
YDR251W	chrIV	960308	960613	1	YDR251W_id001-5prime-utr
YDR251W	chrIV	963107	963261	1	YDR251W_id001-3prime-utr
YDR252W	chrIV	963389	963411	1	YDR252W_id001-5prime-utr
YDR252W	chrIV	963862	964788	1	YDR252W_id001-3prime-utr
YDR253C	chrIV	963338	963989	-1	YDR253C_id001-3prime-utr
YDR253C	chrIV	964566	964766	-1	YDR253C_id001-5prime-utr
YDR254W	chrIV	965026	965112	1	YDR254W_id001-5prime-utr
YDR254W	chrIV	966490	967072	1	YDR254W_id001-3prime-utr
YDR255C	chrIV	965299	966556	-1	YDR255C_id001-3prime-utr
YDR255C	chrIV	967823	967867	-1	YDR255C_id001-5prime-utr
YDR256C	chrIV	967993	968132	-1	YDR256C_id001-3prime-utr
YDR256C	chrIV	969681	969730	-1	YDR256C_id001-5prime-utr
YDR257C	chrIV	969662	969989	-1	YDR257C_id001-3prime-utr
YDR257C	chrIV	971475	971497	-1	YDR257C_id001-5prime-utr
YDR258C	chrIV	971702	971807	-1	YDR258C_id001-3prime-utr
YDR258C	chrIV	974244	974356	-1	YDR258C_id001-5prime-utr
YDR259C	chrIV	974496	974630	-1	YDR259C_id001-3prime-utr
YDR259C	chrIV	975783	976237	-1	YDR259C_id001-5prime-utr
YDR260C	chrIV	975801	976716	-1	YDR260C_id001-3prime-utr
YDR260C	chrIV	977230	977278	-1	YDR260C_id001-5prime-utr
YDR261C	chrIV	977355	977520	-1	YDR261C_id001-3prime-utr
YDR261C	chrIV	979210	979321	-1	YDR261C_id001-5prime-utr
YDR263C	chrIV	994016	994241	-1	YDR263C_id001-3prime-utr
YDR263C	chrIV	995535	995642	-1	YDR263C_id001-5prime-utr
YDR264C	chrIV	995564	996028	-1	YDR264C_id001-3prime-utr
YDR264C	chrIV	998324	998386	-1	YDR264C_id001-5prime-utr
YDR265W	chrIV	998634	998863	1	YDR265W_id001-5prime-utr
YDR265W	chrIV	999878	1000092	1	YDR265W_id001-3prime-utr
YDR266C	chrIV	999976	1000103	-1	YDR266C_id001-3prime-utr
YDR266C	chrIV	1002024	1002239	-1	YDR266C_id001-5prime-utr
YDR267C	chrIV	1002188	1002509	-1	YDR267C_id001-3prime-utr
YDR267C	chrIV	1003503	1003748	-1	YDR267C_id001-5prime-utr
YDR268W	chrIV	1003725	1004003	1	YDR268W_id001-5prime-utr
YDR268W	chrIV	1005144	1005276	1	YDR268W_id001-3prime-utr
YDR270W	chrIV	1005596	1005674	1	YDR270W_id001-5prime-utr
YDR270W	chrIV	1008690	1008767	1	YDR270W_id001-3prime-utr
YDR271C	chrIV	1007978	1008394	-1	YDR271C_id001-3prime-utr
YDR271C	chrIV	1008767	1008793	-1	YDR271C_id001-5prime-utr
YDR272W	chrIV	1008936	1009009	1	YDR272W_id001-5prime-utr
YDR272W	chrIV	1009835	1010859	1	YDR272W_id001-3prime-utr
YDR273W	chrIV	1009395	1010175	1	YDR273W_id001-5prime-utr
YDR273W	chrIV	1011274	1011403	1	YDR273W_id001-3prime-utr
YDR274C	chrIV	1011243	1011588	-1	YDR274C_id001-3prime-utr
YDR274C	chrIV	1011961	1012871	-1	YDR274C_id001-5prime-utr
YDR275W	chrIV	1011573	1012251	1	YDR275W_id001-5prime-utr
YDR275W	chrIV	1012960	1013260	1	YDR275W_id001-3prime-utr
YDR276C	chrIV	1013259	1013475	-1	YDR276C_id001-3prime-utr
YDR276C	chrIV	1013644	1014481	-1	YDR276C_id001-5prime-utr
YDR277C	chrIV	1014108	1014400	-1	YDR277C_id001-3prime-utr
YDR277C	chrIV	1015703	1015860	-1	YDR277C_id001-5prime-utr
YDR279W	chrIV	1019101	1019367	1	YDR279W_id001-5prime-utr
YDR279W	chrIV	1020421	1020447	1	YDR279W_id001-3prime-utr
YDR280W	chrIV	1019899	1020746	1	YDR280W_id001-5prime-utr
YDR280W	chrIV	1021665	1021771	1	YDR280W_id001-3prime-utr
YDR281C	chrIV	1021667	1022006	-1	YDR281C_id001-3prime-utr
YDR281C	chrIV	1022322	1022436	-1	YDR281C_id001-5prime-utr
YDR282C	chrIV	1023220	1023510	-1	YDR282C_id001-3prime-utr
YDR282C	chrIV	1024756	1024762	-1	YDR282C_id001-5prime-utr
YDR284C	chrIV	1030377	1030549	-1	YDR284C_id001-3prime-utr
YDR284C	chrIV	1031420	1031708	-1	YDR284C_id001-5prime-utr
YDR286C	chrIV	1035145	1035230	-1	YDR286C_id001-3prime-utr
YDR286C	chrIV	1035576	1035900	-1	YDR286C_id001-5prime-utr
YDR287W	chrIV	1035217	1035994	1	YDR287W_id001-5prime-utr
YDR287W	chrIV	1036874	1036964	1	YDR287W_id001-3prime-utr
YDR288W	chrIV	1036951	1037194	1	YDR288W_id001-5prime-utr
YDR288W	chrIV	1038107	1038189	1	YDR288W_id001-3prime-utr
YDR289C	chrIV	1037855	1038279	-1	YDR289C_id001-3prime-utr
YDR289C	chrIV	1039510	1039586	-1	YDR289C_id001-5prime-utr
YDR291W	chrIV	1039690	1039727	1	YDR291W_id001-5prime-utr
YDR291W	chrIV	1042962	1043251	1	YDR291W_id001-3prime-utr
YDR292C	chrIV	1042757	1043145	-1	YDR292C_id001-3prime-utr
YDR292C	chrIV	1045012	1045143	-1	YDR292C_id001-5prime-utr
YDR293C	chrIV	1045320	1045639	-1	YDR293C_id001-3prime-utr
YDR293C	chrIV	1049393	1050243	-1	YDR293C_id001-5prime-utr
YDR294C	chrIV	1050405	1050458	-1	YDR294C_id001-3prime-utr
YDR294C	chrIV	1052229	1052323	-1	YDR294C_id001-5prime-utr
YDR295C	chrIV	1052542	1052622	-1	YDR295C_id001-3prime-utr
YDR295C	chrIV	1054648	1054910	-1	YDR295C_id001-5prime-utr
YDR296W	chrIV	1054938	1055211	1	YDR296W_id001-5prime-utr
YDR296W	chrIV	1055893	1055979	1	YDR296W_id001-3prime-utr
YDR297W	chrIV	1056373	1056550	1	YDR297W_id001-5prime-utr
YDR297W	chrIV	1057601	1057770	1	YDR297W_id001-3prime-utr
YDR298C	chrIV	1057999	1058175	-1	YDR298C_id001-3prime-utr
YDR298C	chrIV	1058815	1059413	-1	YDR298C_id001-5prime-utr
YDR299W	chrIV	1059592	1059626	1	YDR299W_id001-5prime-utr
YDR299W	chrIV	1061232	1061523	1	YDR299W_id001-3prime-utr
YDR300C	chrIV	1060851	1061504	-1	YDR300C_id001-3prime-utr
YDR300C	chrIV	1062792	1062861	-1	YDR300C_id001-5prime-utr
YDR301W	chrIV	1063282	1063351	1	YDR301W_id001-5prime-utr
YDR301W	chrIV	1067426	1067556	1	YDR301W_id001-3prime-utr
YDR302W	chrIV	1067654	1067730	1	YDR302W_id001-5prime-utr
YDR302W	chrIV	1068391	1068597	1	YDR302W_id001-3prime-utr
YDR303C	chrIV	1068481	1068728	-1	YDR303C_id001-3prime-utr
YDR303C	chrIV	1071387	1071678	-1	YDR303C_id001-5prime-utr
YDR304C	chrIV	1071810	1071879	-1	YDR304C_id001-3prime-utr
YDR304C	chrIV	1072558	1072811	-1	YDR304C_id001-5prime-utr
YDR305C	chrIV	1072659	1072745	-1	YDR305C_id001-3prime-utr
YDR305C	chrIV	1073489	1074110	-1	YDR305C_id001-5prime-utr
YDR306C	chrIV	1073127	1073734	-1	YDR306C_id001-3prime-utr
YDR306C	chrIV	1075172	1075225	-1	YDR306C_id001-5prime-utr
YDR307W	chrIV	1075806	1075864	1	YDR307W_id001-5prime-utr
YDR307W	chrIV	1077854	1078050	1	YDR307W_id001-3prime-utr
YDR308C	chrIV	1075773	1078026	-1	YDR308C_id001-3prime-utr
YDR308C	chrIV	1078450	1078490	-1	YDR308C_id001-5prime-utr
YDR309C	chrIV	1078749	1079047	-1	YDR309C_id001-3prime-utr
YDR309C	chrIV	1080200	1080736	-1	YDR309C_id001-5prime-utr
YDR311W	chrIV	1084937	1085064	1	YDR311W_id001-5prime-utr
YDR311W	chrIV	1086994	1087096	1	YDR311W_id001-3prime-utr
YDR312W	chrIV	1087497	1087580	1	YDR312W_id001-5prime-utr
YDR312W	chrIV	1088943	1089141	1	YDR312W_id001-3prime-utr
YDR313C	chrIV	1089034	1089218	-1	YDR313C_id001-3prime-utr
YDR313C	chrIV	1090080	1091699	-1	YDR313C_id001-5prime-utr
